58140	1302006	7.194362
58140	2980516	7.555509
58140	7984766	6.359530
57482	7784604	7.299919
57482	4881806	7.063044
46139	2140379	6.011380
46139	1674771	6.361507
46139	1592281	5.628150
46139	1131729	6.893885
46139	2194499	7.186592
46139	1433811	7.338876
46139	1321511	5.774637
46139	2390361	6.829432
46139	2126355	5.777400
46137	816711	9.384092
46134	5052448	6.922315
271	1100089	7.666667
276	1663662	7.131411
276	2872732	6.392095
276	5713232	7.820871
276	2359810	7.564643
276	3741834	8.086222
276	4849438	7.977955
276	5571734	8.440203
276	3263904	7.544345
276	2372678	6.653725
276	369610	7.181998
276	2216240	7.469983
277	448115	8.939574
16700	938330	3.448219
12011	340855	6.709289
12011	1790809	6.542248
12011	1458169	6.126546
12011	1206885	5.901903
12011	2402927	5.611240
12011	1502407	6.234851
64676	5013056	9.204855
64672	6751668	7.914538
64672	8579674	8.201971
63024	6850820	6.693812
10709	2395427	8.084278
9252	2823088	6.603837
46795	1646971	7.610606
46795	120663	7.129202
46795	1091191	7.176243
46795	1856101	7.685355
46795	1731141	5.920489
46795	382625	6.658725
46795	1661199	6.692065
46795	1234721	5.646114
21614	1675434	8.196272
21612	1837562	5.576174
21612	4468740	7.376466
21612	3077214	6.841345
21612	2848292	6.307287
21612	2488496	7.883828
21612	335266	6.908537
21612	1077258	6.583909
21612	3097204	6.186001
21612	2561572	5.820910
21612	4116284	6.951889
45444	758758	8.213969
45440	1302006	7.300622
45440	1025100	5.319412
45440	3760922	6.127022
45440	3949660	6.005740
45440	2172934	6.204334
45440	5164214	6.399845
44795	1905041	8.451948
19390	2004420	8.035111
19390	1877832	9.380325
19390	926084	9.492689
46866	120660	6.627583
46866	3890160	6.049137
46866	2070862	5.016915
46866	475944	4.229827
46866	1637688	6.037877
46866	371246	5.874644
46866	364970	5.223112
46866	1438254	5.885011
46866	1355630	5.795351
46866	212720	6.126295
46866	2316204	5.532527
46866	337978	5.674212
46866	2245084	6.757552
46866	281358	6.385809
46866	284490	4.997855
46866	2267998	7.015738
46866	374536	3.491186
48627	1483013	6.813675
48627	2218003	6.364714
48626	2084970	8.240412
48629	1441951	8.108262
64777	242653	8.746420
64777	838247	8.290943
64777	822847	7.363023
