58140	1302006	9	7.194362
58140	2980516	3	7.555509
58140	7984766	5	6.359530
57482	7784604	7	7.299919
57482	4881806	8	7.063044
46139	2140379	7	6.011380
46139	1674771	7	6.361507
46139	1592281	6	5.628150
46139	1131729	8	6.893885
46139	2194499	7	7.186592
46139	1433811	7	7.338876
46139	1321511	6	5.774637
46139	2390361	7	6.829432
46139	2126355	6	5.777400
46137	816711	8	9.384092
46134	5052448	8	6.922315
271	1100089	9	7.666667
276	1663662	8	7.131411
276	2872732	6	6.392095
276	5713232	8	7.820871
276	2359810	7	7.564643
276	3741834	9	8.086222
276	4849438	9	7.977955
276	5571734	8	8.440203
276	3263904	9	7.544345
276	2372678	7	6.653725
276	369610	7	7.181998
276	2216240	7	7.469983
277	448115	9	8.939574
16700	938330	5	3.448219
12011	340855	7	6.709289
12011	1790809	8	6.542248
12011	1458169	7	6.126546
12011	1206885	6	5.901903
12011	2402927	7	5.611240
12011	1502407	6	6.234851
64676	5013056	7	9.204855
64672	6751668	9	7.914538
64672	8579674	9	8.201971
63024	6850820	7	6.693812
10709	2395427	9	8.084278
9252	2823088	7	6.603837
46795	1646971	8	7.610606
46795	120663	6	7.129202
46795	1091191	8	7.176243
46795	1856101	8	7.685355
46795	1731141	6	5.920489
46795	382625	8	6.658725
46795	1661199	7	6.692065
46795	1234721	7	5.646114
21614	1675434	9	8.196272
21612	1837562	7	5.576174
21612	4468740	8	7.376466
21612	3077214	8	6.841345
21612	2848292	7	6.307287
21612	2488496	8	7.883828
21612	335266	4	6.908537
21612	1077258	6	6.583909
21612	3097204	5	6.186001
21612	2561572	6	5.820910
21612	4116284	6	6.951889
45444	758758	5	8.213969
45440	1302006	6	7.300622
45440	1025100	6	5.319412
45440	3760922	8	6.127022
45440	3949660	6	6.005740
45440	2172934	8	6.204334
45440	5164214	8	6.399845
44795	1905041	10	8.451948
19390	2004420	10	8.035111
19390	1877832	1	9.380325
19390	926084	10	9.492689
46866	120660	8	6.627583
46866	3890160	7	6.049137
